original_name_rna,orginal_name_protein,new_name_rna,new_name_protein
rna_north_importer_NaCl,protein_north_importer_NaCl,rna_32,protein_32
rna_north_importer_CaCl2,protein_north_importer_CaCl2,rna_33,protein_33
rna_north_importer_FeSO4,protein_north_importer_FeSO4,rna_34,protein_34
rna_north_importer_ZnCl2,protein_north_importer_ZnCl2,rna_35,protein_35
rna_south_importer_H2O,protein_south_importer_H2O,rna_36,protein_36
rna_south_importer_O2,protein_south_importer_O2,rna_37,protein_37
rna_south_importer_NH4Cl,protein_south_importer_NH4Cl,rna_38,protein_38
rna_south_importer_KH2PO4,protein_south_importer_KH2PO4,rna_39,protein_39
rna_south_importer_MgSO4,protein_south_importer_MgSO4,rna_40,protein_40
rna_south_importer_NaCl,protein_south_importer_NaCl,rna_41,protein_41
rna_south_importer_CaCl2,protein_south_importer_CaCl2,rna_42,protein_42
rna_south_importer_FeSO4,protein_south_importer_FeSO4,rna_43,protein_43
rna_south_importer_ZnCl2,protein_south_importer_ZnCl2,rna_44,protein_44
rna_east_exporter_H2O,protein_east_exporter_H2O,rna_45,protein_45
rna_east_exporter_O2,protein_east_exporter_O2,rna_46,protein_46
rna_east_exporter_NH4Cl,protein_east_exporter_NH4Cl,rna_47,protein_47
rna_east_exporter_KH2PO4,protein_east_exporter_KH2PO4,rna_48,protein_48
rna_east_exporter_MgSO4,protein_east_exporter_MgSO4,rna_49,protein_49
rna_east_exporter_NaCl,protein_east_exporter_NaCl,rna_50,protein_50
rna_east_exporter_CaCl2,protein_east_exporter_CaCl2,rna_51,protein_51
rna_east_exporter_FeSO4,protein_east_exporter_FeSO4,rna_52,protein_52
rna_east_exporter_ZnCl2,protein_east_exporter_ZnCl2,rna_53,protein_53
rna_west_exporter_H2O,protein_west_exporter_H2O,rna_54,protein_54
rna_west_exporter_O2,protein_west_exporter_O2,rna_55,protein_55
rna_west_exporter_NH4Cl,protein_west_exporter_NH4Cl,rna_56,protein_56
rna_west_exporter_KH2PO4,protein_west_exporter_KH2PO4,rna_57,protein_57
rna_west_exporter_MgSO4,protein_west_exporter_MgSO4,rna_58,protein_58
rna_west_exporter_NaCl,protein_west_exporter_NaCl,rna_59,protein_59
rna_west_exporter_CaCl2,protein_west_exporter_CaCl2,rna_60,protein_60
rna_west_exporter_FeSO4,protein_west_exporter_FeSO4,rna_61,protein_61
rna_west_exporter_ZnCl2,protein_west_exporter_ZnCl2,rna_62,protein_62
rna_north_exporter_H2O,protein_north_exporter_H2O,rna_63,protein_63
rna_north_exporter_O2,protein_north_exporter_O2,rna_64,protein_64
rna_north_exporter_NH4Cl,protein_north_exporter_NH4Cl,rna_65,protein_65
rna_north_exporter_KH2PO4,protein_north_exporter_KH2PO4,rna_66,protein_66
rna_north_exporter_MgSO4,protein_north_exporter_MgSO4,rna_67,protein_67
rna_north_exporter_NaCl,protein_north_exporter_NaCl,rna_68,protein_68
rna_north_exporter_CaCl2,protein_north_exporter_CaCl2,rna_69,protein_69
rna_north_exporter_FeSO4,protein_north_exporter_FeSO4,rna_70,protein_70
rna_north_exporter_ZnCl2,protein_north_exporter_ZnCl2,rna_71,protein_71
rna_south_exporter_H2O,protein_south_exporter_H2O,rna_72,protein_72
rna_south_exporter_O2,protein_south_exporter_O2,rna_73,protein_73
rna_south_exporter_NH4Cl,protein_south_exporter_NH4Cl,rna_74,protein_74
rna_south_exporter_KH2PO4,protein_south_exporter_KH2PO4,rna_75,protein_75
rna_south_exporter_MgSO4,protein_south_exporter_MgSO4,rna_76,protein_76
rna_south_exporter_NaCl,protein_south_exporter_NaCl,rna_77,protein_77
rna_south_exporter_CaCl2,protein_south_exporter_CaCl2,rna_78,protein_78
rna_south_exporter_FeSO4,protein_south_exporter_FeSO4,rna_79,protein_79
rna_south_exporter_ZnCl2,protein_south_exporter_ZnCl2,rna_80,protein_80
rna_dna_replication_enzyme_1,protein_dna_replication_enzyme_1,rna_81,protein_81
rna_dna_replication_enzyme_2,protein_dna_replication_enzyme_2,rna_82,protein_82
rna_dna_replication_enzyme_3,protein_dna_replication_enzyme_3,rna_83,protein_83
rna_dna_replication_enzyme_4,protein_dna_replication_enzyme_4,rna_84,protein_84
rna_dna_replication_enzyme_5,protein_dna_replication_enzyme_5,rna_85,protein_85
rna_dna_replication_enzyme_6,protein_dna_replication_enzyme_6,rna_86,protein_86
rna_dna_replication_enzyme_7,protein_dna_replication_enzyme_7,rna_87,protein_87
rna_dna_replication_enzyme_8,protein_dna_replication_enzyme_8,rna_88,protein_88
rna_dna_replication_enzyme_9,protein_dna_replication_enzyme_9,rna_89,protein_89
rna_dna_replication_enzyme_10,protein_dna_replication_enzyme_10,rna_90,protein_90
rna_growth_enzyme_1,protein_growth_enzyme_1,rna_91,protein_91
rna_growth_enzyme_2,protein_growth_enzyme_2,rna_92,protein_92
rna_growth_enzyme_3,protein_growth_enzyme_3,rna_93,protein_93
rna_growth_enzyme_4,protein_growth_enzyme_4,rna_94,protein_94
rna_growth_enzyme_5,protein_growth_enzyme_5,rna_95,protein_95
rna_growth_enzyme_6,protein_growth_enzyme_6,rna_96,protein_96
rna_growth_enzyme_7,protein_growth_enzyme_7,rna_97,protein_97
rna_growth_enzyme_8,protein_growth_enzyme_8,rna_98,protein_98
rna_growth_enzyme_9,protein_growth_enzyme_9,rna_99,protein_99
rna_growth_enzyme_10,protein_growth_enzyme_10,rna_100,protein_100
rna_north_importer_replacement_factor,protein_north_importer_replacement_factor,rna_101,protein_101
rna_south_importer_replacement_factor,protein_south_importer_replacement_factor,rna_102,protein_102
rna_east_importer_replacement_factor,protein_east_importer_replacement_factor,rna_103,protein_103
rna_west_importer_replacement_factor,protein_west_importer_replacement_factor,rna_104,protein_104
rna_increase_noise_pathway_enzyme_1,protein_increase_noise_pathway_enzyme_1,rna_105,protein_105
rna_increase_noise_pathway_enzyme_2,protein_increase_noise_pathway_enzyme_2,rna_106,protein_106
rna_increase_noise_pathway_enzyme_3,protein_increase_noise_pathway_enzyme_3,rna_107,protein_107
rna_decrease_noise_pathway_enzyme_1,protein_decrease_noise_pathway_enzyme_1,rna_108,protein_108
rna_decrease_noise_pathway_enzyme_2,protein_decrease_noise_pathway_enzyme_2,rna_109,protein_109
rna_decrease_noise_pathway_enzyme_3,protein_decrease_noise_pathway_enzyme_3,rna_110,protein_110
,growth_factor,,protein_111
,replacement_factor,,protein_112
,mature_growth_factor,,protein_113
